epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2020.65,0.54281,1.09761,1.13208,0.66756,0.84615,0.76564,0.64312,0.61679,1.71668,1.12198,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,2082.51,0.56766,1.05581,1.12864,0.67186,0.78753,0.7505,0.63404,0.60384,1.737,1.10498,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,2145.69,0.55073,1.24744,1.13387,0.6969,0.76923,0.74734,0.59567,0.61932,1.84084,1.0853,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,2207.99,0.53158,1.06201,1.1201,0.66683,0.8622,0.79594,0.62695,0.59908,1.80851,1.07272,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,2270.27,0.57051,1.0645,1.13059,0.74924,0.86154,0.83586,0.667,0.6037,1.68536,1.07579,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2333.02,0.49547,0.94319,1.09989,0.74218,0.8415,0.82831,0.68368,0.56677,1.66608,1.03815,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2395.95,0.4988,0.96157,1.11591,0.64329,0.88787,0.76189,0.62686,0.56708,1.81887,1.04129,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2462.35,0.55213,0.98971,1.1499,0.62691,0.89231,0.7876,0.6431,0.55853,1.77586,1.04708,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2526.5,0.54696,1.03186,1.12725,0.64613,0.90769,0.80983,0.66405,0.59725,1.68443,1.05989,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2588.89,0.4989,0.98247,1.11948,0.69345,0.81538,0.79514,0.62905,0.66077,1.72654,1.08535,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2651.39,0.6119,1.1076,1.19387,0.82299,0.73846,0.82705,0.67619,0.6129,1.62738,1.07258,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2713.39,0.55474,1.66017,1.15771,0.79792,0.78978,0.83907,0.71182,0.52928,1.60942,1.04479,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2775.21,0.40953,1.2355,1.06341,0.59987,0.84615,0.75312,0.65375,0.58053,1.68584,1.06091,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2838.49,0.4119,1.14211,1.068,0.57492,0.78462,0.70698,0.53442,0.70335,1.97896,1.16892,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2900.95,0.37455,1.10205,1.05272,0.74928,0.72308,0.81247,0.6724,0.51779,1.64188,1.03073,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2967.94,0.37737,1.06956,1.03699,0.62443,0.86971,0.77848,0.6432,0.53108,1.73689,1.02393,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,3029.34,0.40534,1.09079,1.08383,0.70843,0.8,0.83613,0.70145,0.49857,1.65051,0.99646,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3091.97,0.36674,1.08699,1.01865,0.85833,0.69231,0.8685,0.75041,0.48317,1.61006,0.98331,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3154.31,0.36145,1.06927,1.07017,0.80653,0.75385,0.87361,0.75856,0.48221,1.59112,0.98976,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3216.43,0.38362,1.03593,1.10193,0.80387,0.76923,0.87442,0.75563,0.47673,1.58144,0.9921,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3277.37,0.33001,1.02356,0.99802,0.82671,0.72308,0.87175,0.75457,0.47688,1.56545,0.99468,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
