epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,559.855,1.59168,2.65524,1.70266,0.43244,0.42204,0.37211,0.18889,1.39534,2.39275,1.52318,0.00198864,0.000662879,0.00198864,0.000662879,0.00198864,0.000662879,0.00198864,0.000662879
2,904.51,1.4144,2.10564,1.52909,0.51238,0.53091,0.49152,0.25998,1.37267,2.06456,1.47663,0.00390966,0.00130322,0.00390966,0.00130322,0.00390966,0.00130322,0.00390966,0.00130322
3,1196.85,1.35607,1.74622,1.4557,0.60718,0.58065,0.5894,0.33139,1.30913,1.98646,1.43855,0.00575149,0.00191716,0.00575149,0.00191716,0.00575149,0.00191716,0.00575149,0.00191716
4,1473.38,1.32597,1.6397,1.44454,0.59402,0.56246,0.57294,0.32503,1.34028,1.79436,1.46382,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,1744.59,1.28701,1.58028,1.43492,0.68726,0.44489,0.55445,0.31072,1.37009,1.99934,1.48453,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,2014.47,1.25348,1.48097,1.40849,0.66331,0.57392,0.59664,0.35795,1.30762,1.62489,1.42832,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,2285.4,1.2102,1.43026,1.38249,0.63598,0.6082,0.63026,0.35795,1.35124,1.61384,1.45303,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,2557.02,1.22924,1.41257,1.39229,0.72438,0.63585,0.66085,0.39084,1.2753,1.51877,1.40871,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,2827.07,1.18556,1.35165,1.36328,0.64204,0.57859,0.63991,0.37949,1.27589,1.50213,1.41524,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,3097.21,1.17114,1.31272,1.35904,0.72555,0.62538,0.67927,0.42133,1.24446,1.42209,1.37712,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,3367.25,1.15902,1.27813,1.33769,0.76161,0.62903,0.68323,0.42862,1.26042,1.3643,1.37795,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,3637.22,1.14811,1.24759,1.33863,0.70386,0.63038,0.67167,0.4261,1.24814,1.35065,1.36214,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,3906.8,1.14135,1.21248,1.3332,0.77002,0.62555,0.68594,0.42319,1.26944,1.35756,1.38815,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,4176.88,1.1346,1.18795,1.31451,0.72953,0.61694,0.68122,0.42054,1.28247,1.33782,1.39764,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,4446.36,1.11797,1.15975,1.3001,0.75501,0.62366,0.68172,0.43324,1.21486,1.33311,1.34968,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,4714.54,1.09498,1.10831,1.30196,0.75693,0.62783,0.6954,0.43098,1.23353,1.29685,1.34702,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,4981.73,1.08721,1.12211,1.29714,0.78656,0.61022,0.69535,0.42058,1.3001,1.30923,1.40486,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,5248.68,1.08327,1.09922,1.29704,0.74238,0.63908,0.68754,0.4344,1.27784,1.28757,1.36762,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,5517.36,1.06917,1.08345,1.27966,0.7308,0.64113,0.69626,0.43779,1.23201,1.26864,1.36156,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,5785.33,1.07817,1.07979,1.29436,0.77867,0.63365,0.69588,0.45201,1.22408,1.2475,1.35624,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,6054.56,1.05254,1.05213,1.2821,0.77537,0.64651,0.70199,0.44155,1.23801,1.24376,1.36458,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,6324.43,1.04919,1.03534,1.2704,0.76114,0.65103,0.67862,0.42795,1.25118,1.28935,1.35854,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,6593.5,1.05032,1.03542,1.26783,0.77571,0.6415,0.71023,0.45221,1.23345,1.20489,1.33925,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,6862.31,1.00087,0.99699,1.25358,0.80259,0.62841,0.7217,0.46732,1.20894,1.16943,1.33458,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,7130.75,1.01365,0.98552,1.25272,0.77205,0.65726,0.7101,0.45154,1.21891,1.18842,1.32548,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,7403.17,0.99363,0.96569,1.23767,0.76153,0.67473,0.7137,0.45594,1.22444,1.1716,1.33142,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,7672.67,1.00218,0.97324,1.24051,0.73448,0.66552,0.71811,0.45465,1.23051,1.20717,1.33827,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,7941.13,0.9984,0.96852,1.24936,0.8129,0.61319,0.72539,0.47227,1.1962,1.15339,1.3162,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,8210.21,1.0048,0.95222,1.24576,0.77182,0.66398,0.7227,0.45445,1.20485,1.16868,1.33268,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,8478.94,0.98868,0.94293,1.23453,0.80717,0.65323,0.73257,0.47781,1.18418,1.11852,1.31385,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,8748.56,0.97993,0.93162,1.232,0.78294,0.66801,0.7191,0.46323,1.2024,1.16341,1.32308,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,9016.98,0.98204,0.92191,1.2161,0.78175,0.6586,0.71946,0.46577,1.18969,1.13592,1.3153,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,9286.36,0.96335,0.90895,1.21444,0.76728,0.69574,0.73906,0.47122,1.2148,1.12223,1.33551,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,9554.62,0.95938,0.89391,1.20723,0.80254,0.65552,0.7267,0.4684,1.18355,1.10565,1.29867,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,9823.64,0.94562,0.88252,1.20826,0.77817,0.68366,0.73247,0.47843,1.17986,1.09184,1.29993,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,10092.8,0.94774,0.8905,1.20865,0.81425,0.65457,0.73722,0.46845,1.18747,1.1281,1.30622,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,10362.8,0.9341,0.86926,1.19029,0.8162,0.66667,0.73541,0.46779,1.17657,1.13009,1.31098,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,10631.5,0.91532,0.86487,1.19074,0.78221,0.66801,0.71622,0.46598,1.19455,1.12462,1.32226,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,10899.9,0.93133,0.86319,1.19687,0.81231,0.64651,0.72262,0.46622,1.17758,1.11689,1.29854,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,11168.6,0.93495,0.86177,1.20474,0.79488,0.65323,0.72224,0.47608,1.17262,1.11595,1.3028,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,11433.5,0.83468,0.77951,1.17552,0.83096,0.64247,0.73511,0.47568,1.1546,1.09612,1.30385,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,11699.7,0.81185,0.75521,1.16119,0.79938,0.65873,0.74186,0.4871,1.13183,1.10936,1.27274,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,11964.7,0.7934,0.72608,1.14314,0.83494,0.6323,0.72334,0.47821,1.16187,1.12947,1.29018,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,12230.8,0.77139,0.71393,1.13687,0.79245,0.65174,0.7245,0.4757,1.1397,1.13148,1.27061,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,12495.9,0.76714,0.70734,1.12806,0.76597,0.65988,0.72661,0.47215,1.16428,1.13318,1.30014,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,12762.4,0.7649,0.70442,1.12893,0.77843,0.66801,0.72851,0.48241,1.12532,1.10196,1.27924,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
